"Entidad_federativa","Nivel_educativo","Maestros","Escuelas","ciclo"
"Puebla","Primaria",27964,4525,"2010-2011"
"Puebla","Secundaria",18726,2133,"2010-2011"
"Puebla","Media superior",15667,1441,"2010-2011"
"Puebla","Superior",16920,534,"2010-2011"
"Querétaro","Preescolar",3830,1531,"2010-2011"
"Querétaro","Primaria",8181,1490,"2010-2011"
"Querétaro","Secundaria",4923,492,"2010-2011"
"Querétaro","Media superior",4438,219,"2010-2011"
"Querétaro","Superior",6499,116,"2010-2011"
"Quintana Roo","Preescolar",2043,689,"2010-2011"
"Quintana Roo","Primaria",5733,834,"2010-2011"
"Quintana Roo","Secundaria",5342,378,"2010-2011"
"Quintana Roo","Media superior",3106,137,"2010-2011"
"Quintana Roo","Superior",3513,58,"2010-2011"
"San Luis Potosí","Preescolar",6607,3181,"2010-2011"
"San Luis Potosí","Primaria",14589,3423,"2010-2011"
"San Luis Potosí","Secundaria",10942,1631,"2010-2011"
"San Luis Potosí","Media superior",6275,433,"2010-2011"
"San Luis Potosí","Superior",5768,109,"2010-2011"
"Sinaloa","Preescolar",5416,2462,"2010-2011"
"Sinaloa","Primaria",13312,2866,"2010-2011"
"Sinaloa","Secundaria",12033,891,"2010-2011"
"Sinaloa","Media superior",8005,350,"2010-2011"
"Sinaloa","Superior",7389,150,"2010-2011"
"Sonora","Preescolar",4418,1614,"2010-2011"
"Sonora","Primaria",12816,1845,"2010-2011"
"Sonora","Secundaria",8440,683,"2010-2011"
"Sonora","Media superior",6466,316,"2010-2011"
"Sonora","Superior",7888,181,"2010-2011"
"Tabasco","Preescolar",4683,2056,"2010-2011"
"Tabasco","Primaria",10202,2130,"2010-2011"
"Tabasco","Secundaria",7299,741,"2010-2011"
"Tabasco","Media superior",5409,278,"2010-2011"
"Tabasco","Superior",5501,89,"2010-2011"
"Tamaulipas","Preescolar",6039,2370,"2010-2011"
"Tamaulipas","Primaria",15026,2513,"2010-2011"
"Tamaulipas","Secundaria",11136,736,"2010-2011"
"Tamaulipas","Media superior",7393,356,"2010-2011"
"Tamaulipas","Superior",9927,232,"2010-2011"
"Tlaxcala","Preescolar",2259,857,"2010-2011"
"Tlaxcala","Primaria",6021,793,"2010-2011"
"Tlaxcala","Secundaria",4463,354,"2010-2011"
"Tlaxcala","Media superior",3198,188,"2010-2011"
"Tlaxcala","Superior",2649,70,"2010-2011"
"Veracruz","Preescolar",16958,8117,"2010-2011"
"Veracruz","Primaria",46216,9789,"2010-2011"
"Veracruz","Secundaria",24000,3097,"2010-2011"
"Veracruz","Media superior",18891,1665,"2010-2011"
"Veracruz","Superior",13233,450,"2010-2011"
"Yucatán","Preescolar",3819,1267,"2010-2011"
"Yucatán","Primaria",9244,1387,"2010-2011"
"Yucatán","Secundaria",8676,595,"2010-2011"
"Yucatán","Media superior",5070,247,"2010-2011"
"Yucatán","Superior",6469,161,"2010-2011"
"Zacatecas","Preescolar",3597,1745,"2010-2011"
"Zacatecas","Primaria",8788,2031,"2010-2011"
"Zacatecas","Secundaria",5778,1150,"2010-2011"
"Zacatecas","Media superior",3068,186,"2010-2011"
"Zacatecas","Superior",4195,104,"2010-2011"
"Aguascalientes","Preescolar",2124,640,"2015-2016"
"Aguascalientes","Primaria",5010,708,"2015-2016"
"Aguascalientes","Secundaria",5216,355,"2015-2016"
"Aguascalientes","Media superior",5588,302,"2015-2016"
"Aguascalientes","Superior",5668,55,"2015-2016"
"Baja California","Preescolar",4956,1427,"2015-2016"
"Baja California","Primaria",14633,1650,"2015-2016"
"Baja California","Secundaria",13915,670,"2015-2016"
"Baja California","Media superior",10656,400,"2015-2016"
"Baja California","Superior",12813,143,"2015-2016"
"Baja California Sur","Preescolar",1191,421,"2015-2016"
"Baja California Sur","Primaria",3219,446,"2015-2016"
"Baja California Sur","Secundaria",2674,189,"2015-2016"
"Baja California Sur","Media superior",2937,133,"2015-2016"
"Baja California Sur","Superior",2346,35,"2015-2016"
"Campeche","Preescolar",1805,695,"2015-2016"
"Campeche","Primaria",4397,778,"2015-2016"
"Campeche","Secundaria",3327,333,"2015-2016"
"Campeche","Media superior",2935,137,"2015-2016"
"Campeche","Superior",2643,70,"2015-2016"
"Coahuila","Preescolar",4707,1729,"2015-2016"
"Coahuila","Primaria",12086,1840,"2015-2016"
"Coahuila","Secundaria",12017,625,"2015-2016"
"Coahuila","Media superior",12009,678,"2015-2016"
"Coahuila","Superior",10748,155,"2015-2016"
"Colima","Preescolar",1223,422,"2015-2016"
"Colima","Primaria",3235,497,"2015-2016"
"Colima","Secundaria",3220,178,"2015-2016"
"Colima","Media superior",3249,180,"2015-2016"
"Colima","Superior",2791,53,"2015-2016"
"Chiapas","Preescolar",13126,7237,"2015-2016"
"Chiapas","Primaria",31423,8505,"2015-2016"
"Chiapas","Secundaria",15232,2252,"2015-2016"
"Chiapas","Media superior",12828,1038,"2015-2016"
"Chiapas","Superior",9297,214,"2015-2016"
"Chihuahua","Preescolar",5557,2259,"2015-2016"
"Chihuahua","Primaria",16908,2834,"2015-2016"
